Partner jurisdiction code;Partner jurisdiction;Year;Company name;Headquarter country code;Headquarter country;Revenue;Profit before tax;CIT paid;FTEs;Average ETR over 6 years;Exchange rate to EUR
ARE;United Arab Emirates;2019;BNP Paribas;FRA;France;45;17;5;76;0,1430561;1
AUS;Australia;2019;BNP Paribas;FRA;France;178;53;0;486;0,324823;1
BEL;Belgium;2019;BNP Paribas;FRA;France;4468;1531;159;13515;0,1577401;1
BFA;Burkina Faso;2019;BNP Paribas;FRA;France;22;4;1;239;0,1846154;1
BGR;Bulgaria;2019;BNP Paribas;FRA;France;74;24;3;919;0,0935046;1
BMU;Bermuda;2019;BNP Paribas;FRA;France;0;0;0;0;0,0663941;1
BRA;Brazil;2019;BNP Paribas;FRA;France;647;185;59;1542;0,2444761;1
CAN;Canada;2019;BNP Paribas;FRA;France;48;35;9;816;0,240078;1
CHL;Chile;2019;BNP Paribas;FRA;France;87;46;9;449;0,2389435;1
CHN;China;2019;BNP Paribas;FRA;France;149;71;20;422;0,0663941;1
CIV;Ivory Coast;2019;BNP Paribas;FRA;France;78;7;0;694;0,2010607;1
COL;Colombia;2019;BNP Paribas;FRA;France;70;31;13;357;0,3146946;1
COM;Comoros;2019;BNP Paribas;FRA;France;3;0;0;68;0;1
CYM;Cayman IslandS;2019;BNP Paribas;FRA;France;8;8;0;0;0,0663941;1
CZE;Czech Republic;2019;BNP Paribas;FRA;France;103;25;0;744;0,1850446;1
DEU;Germany;2019;BNP Paribas;FRA;France;1799;399;99;5207;0,2248995;1
DNK;Denmark;2019;BNP Paribas;FRA;France;89;12;2;278;0,1790541;1
DZA;Algeria;2019;BNP Paribas;FRA;France;127;45;21;1336;0,3251559;1
ESP;Spain;2019;BNP Paribas;FRA;France;1200;582;123;3809;0,204783;1
FIN;Finland;2019;BNP Paribas;FRA;France;4;0;0;32;0,2123025;1
FRA;France;2019;BNP Paribas;FRA;France;14038;2139;767;56285;0,2561301;1
GBR;United Kingdom;2019;BNP Paribas;FRA;France;3227;842;173;7649;0,1722402;1
GGY;Guernsey;2019;BNP Paribas;FRA;France;10;2;0;22;0,0862231;1
GIN;Guinea;2019;BNP Paribas;FRA;France;34;7;2;320;0,3292902;1
GRC;Greece;2019;BNP Paribas;FRA;France;7;0;0;58;0,2414578;1
HUN;Hungary;2019;BNP Paribas;FRA;France;75;23;2;495;0,1567981;1
IDN;Indonesia;2019;BNP Paribas;FRA;France;71;24;10;161;0,3069114;1
IND;India;2019;BNP Paribas;FRA;France;264;152;66;10617;0,3292902;1
IRL;Ireland;2019;BNP Paribas;FRA;France;254;123;15;559;0,0840653;1
ITA;Italy;2019;BNP Paribas;FRA;France;5159;1414;373;18366;0,1978472;1
JEY;Jersey;2019;BNP Paribas;FRA;France;38;5;0;214;0,077297;1
JPN;Japan;2019;BNP Paribas;FRA;France;500;259;65;689;0,2597804;1
KOR;Republic of Korea;2019;BNP Paribas;FRA;France;119;37;0;349;0,1811365;1
KWT;Kuwait;2019;BNP Paribas;FRA;France;8;3;1;21;0,0663941;1
LUX;Luxembourg;2019;BNP Paribas;FRA;France;1240;487;115;3643;0,1486482;1
MAR;Morocco;2019;BNP Paribas;FRA;France;295;101;37;3404;0,3292902;1
MCO;Monaco;2019;BNP Paribas;FRA;France;66;30;2;195;0,1839176;1
MEX;Mexico;2019;BNP Paribas;FRA;France;83;39;11;281;0,2583655;1
MLI;Mali;2019;BNP Paribas;FRA;France;14;2;1;79;0,3125;1
MYS;Malaysia;2019;BNP Paribas;FRA;France;37;21;5;98;0,2472405;1
NLD;Netherlands;2019;BNP Paribas;FRA;France;305;69;12;966;0,2436029;1
NZL;New Zealand;2019;BNP Paribas;FRA;France;10;5;1;43;0,2715244;1
PAN;Panama;2019;BNP Paribas;FRA;France;0;0;0;0;0,0663941;1
POL;Poland;2019;BNP Paribas;FRA;France;1111;229;51;10528;0,2793418;1
PRT;Portugal;2019;BNP Paribas;FRA;France;226;87;26;5936;0,1673892;1
QAT;Qatar;2019;BNP Paribas;FRA;France;25;10;1;25;0,0726992;1
ROU;Romania;2019;BNP Paribas;FRA;France;89;19;3;911;0,1419074;1
RUS;Russia;2019;BNP Paribas;FRA;France;58;27;2;370;0,216298;1
SAU;Saudi Arabia;2019;BNP Paribas;FRA;France;21;2;1;51;0,0663941;1
SEN;Senegal;2019;BNP Paribas;FRA;France;57;14;6;485;0,2510121;1
SGP;Singapore;2019;BNP Paribas;FRA;France;501;101;12;2026;0,1247309;1
SRB;Serbia;2019;BNP Paribas;FRA;France;33;15;2;601;0,0822935;1
SVK;Slovakia;2019;BNP Paribas;FRA;France;27;3;1;342;0,2300272;1
SWE;Sweden;2019;BNP Paribas;FRA;France;55;1;3;269;0,2178586;1
THA;Thailand;2019;BNP Paribas;FRA;France;26;9;3;79;0,1478813;1
TUN;Tunisia;2019;BNP Paribas;FRA;France;80;31;12;1137;0,2988506;1
TUR;Turkey;2019;BNP Paribas;FRA;France;1003;284;97;9847;0,1981894;1
TWN;Taiwan;2019;BNP Paribas;FRA;France;179;91;12;495;0,1149681;1
UKR;Ukraine;2019;BNP Paribas;FRA;France;219;98;5;5427;0,1256723;1
USA;United States of America;2019;BNP Paribas;FRA;France;4296;940;132;13174;0,163739;1
VNM;Viet Nam;2019;BNP Paribas;FRA;France;41;27;7;89;0,1997686;1
ZAF;South Africa;2019;BNP Paribas;FRA;France;183;63;17;1639;0,2581511;1
