Partner jurisdiction code;Partner jurisdiction;Year;Company name;Headquarter country code;Headquarter country;Revenue;Profit before tax;CIT paid;FTEs;Average ETR over 6 years;Exchange rate to EUR
ARE;United Arab Emirates;2019;Deutsche Bank;DEU;Germany;13;3;0;198;0,1832178;1
AUS;Australia;2019;Deutsche Bank;DEU;Germany;190;-38;-17;322;0,3016499;1
AUT;Austria;2019;Deutsche Bank;DEU;Germany;11;-3;0;83;0,1825204;1
BEL;Belgium;2019;Deutsche Bank;DEU;Germany;173;0;0;549;0,1724621;1
BRA;Brazil;2019;Deutsche Bank;DEU;Germany;53;24;1;128;0,262848;1
CAN;Canada;2019;Deutsche Bank;DEU;Germany;9;2;3;13;0,2393465;1
CHE;Switzerland;2019;Deutsche Bank;DEU;Germany;250;-79;-19;645;-0,0329162;1
CHL;Chile;2019;Deutsche Bank;DEU;Germany;1;1;0;0;0,2193853;1
CHN;China;2019;Deutsche Bank;DEU;Germany;195;106;26;506;0,0725368;1
CYM;Cayman Islands;2019;Deutsche Bank;DEU;Germany;4;2;0;5;-0,0329162;1
CZE;Czech Republic;2019;Deutsche Bank;DEU;Germany;14;7;1;44;0,1805446;1
DEU;Germany;2019;Deutsche Bank;DEU;Germany;10720;949;234;40496;0,2342376;1
ESP;Spain;2019;Deutsche Bank;DEU;Germany;506;39;12;2301;0,4349445;1
FRA;France;2019;Deutsche Bank;DEU;Germany;89;-5;2;208;0,2808899;1
GBR;Great Britain;2019;Deutsche Bank;DEU;Germany;2529;-2418;262;7559;0,2664731;1
GGY;Guernsey;2019;Deutsche Bank;DEU;Germany;0;0;0;3;0,0817557;1
GRC;Greece;2019;Deutsche Bank;DEU;Germany;0;1;0;9;0,3601653;1
HKG;Hong Kong;2019;Deutsche Bank;DEU;Germany;750;-100;19;1035;0,0982381;1
HUN;Hungary;2019;Deutsche Bank;DEU;Germany;16;3;1;55;0,3468463;1
IDN;Indonesia;2019;Deutsche Bank;DEU;Germany;143;82;27;224;0,4349445;1
IND;India;2019;Deutsche Bank;DEU;Germany;634;392;173;12052;0,4349445;1
IRL;Ireland;2019;Deutsche Bank;DEU;Germany;15;2;1;409;0,0541072;1
ISR;Israel;2019;Deutsche Bank;DEU;Germany;-1;2;1;8;0,3401167;1
ITA;Italy;2019;Deutsche Bank;DEU;Germany;885;-85;13;3541;0,3180768;1
JEY;Jersey;2019;Deutsche Bank;DEU;Germany;2;-11;0;23;0,0800989;1
JPN;Japan;2019;Deutsche Bank;DEU;Germany;270;-23;48;468;0,2821167;1
KOR;South Korea;2019;Deutsche Bank;DEU;Germany;101;27;8;216;0,253734;1
LKA;Sri Lanka;2019;Deutsche Bank;DEU;Germany;15;5;-1;62;0,4349445;1
LUX;Luxembourg;2019;Deutsche Bank;DEU;Germany;983;520;76;506;0,1526281;1
MEX;Mexico;2019;Deutsche Bank;DEU;Germany;20;-3;0;34;0,2430528;1
MLT;Malta;2019;Deutsche Bank;DEU;Germany;7;5;1;0;0,1150504;1
MUS;Mauritius;2019;Deutsche Bank;DEU;Germany;23;21;0;0;0,0516993;1
MYS;Malaysia;2019;Deutsche Bank;DEU;Germany;99;62;15;198;0,2394363;1
NLD;Netherlands;2019;Deutsche Bank;DEU;Germany;302;137;-1;613;0,2504536;1
PAK;Pakistan;2019;Deutsche Bank;DEU;Germany;14;7;3;67;0,4197661;1
PHL;Philippines;2019;Deutsche Bank;DEU;Germany;42;24;5;1537;0,2225207;1
POL;Poland;2019;Deutsche Bank;DEU;Germany;82;13;3;383;0,26102;1
PRT;Portugal;2019;Deutsche Bank;DEU;Germany;28;-22;10;45;0,1513967;1
QAT;Qatar;2019;Deutsche Bank;DEU;Germany;0;-1;0;3;0,0805232;1
ROU;Romania;2019;Deutsche Bank;DEU;Germany;0;10;1;700;0,197357;1
RUS;Russian Fed.;2019;Deutsche Bank;DEU;Germany;56;39;9;1424;0,2375382;1
SAU;Saudi Arabia;2019;Deutsche Bank;DEU;Germany;22;-7;2;57;0,0057295;1
SGP;Singapore;2019;Deutsche Bank;DEU;Germany;768;102;24;1921;0,1918038;1
SWE;Sweden;2019;Deutsche Bank;DEU;Germany;1;1;0;29;0,2051518;1
THA;Thailand;2019;Deutsche Bank;DEU;Germany;40;4;1;113;0,2880442;1
TUR;Turkey;2019;Deutsche Bank;DEU;Germany;47;29;6;115;0,3074043;1
TWN;Taiwan;2019;Deutsche Bank;DEU;Germany;48;12;1;155;0,1223675;1
UKR;Ukraine;2019;Deutsche Bank;DEU;Germany;6;1;0;35;-0,0329162;1
USA;USA;2019;Deutsche Bank;DEU;Germany;4487;-944;1684;8381;0,2781727;1
VNM;Viet nam;2019;Deutsche Bank;DEU;Germany;21;10;2;65;0,1974287;1
ZAF;South Africa;2019;Deutsche Bank;DEU;Germany;18;-6;3;57;0,2781797;1
