Partner jurisdiction code;Partner jurisdiction;Year;Company name;Headquarter country code;Headquarter country;Revenue;Profit before tax;CIT paid;FTEs;Average ETR over 6 years;Exchange rate to EUR
CHN;China;2019;SEB Bank;SWE;SWEDEN;954;119;34;43;0,0663941;0,09446
DEU;Germany;2019;SEB Bank;SWE;SWEDEN;2549;898;361;321;0,2248995;0,09446
DNK;Denmark;2019;SEB Bank;SWE;SWEDEN;2907;1590;332;327;0,1790541;0,09446
EST;Estonia;2019;SEB Bank;SWE;SWEDEN;2164;1288;181;1152;0,194689;0,09446
FIN;Finland;2019;SEB Bank;SWE;SWEDEN;1899;953;189;281;0,2123025;0,09446
GBR;United Kingdom;2019;SEB Bank;SWE;SWEDEN;2374;725;203;110;0,1722402;0,09446
HKG;Hong Kong;2019;SEB Bank;SWE;SWEDEN;199;34;0;14;0,0837721;0,09446
IRL;Ireland;2019;SEB Bank;SWE;SWEDEN;646;234;21;119;0,0840653;0,09446
LTU;Lithuania;2019;SEB Bank;SWE;SWEDEN;2855;1565;252;2759;0,1563355;0,09446
LUX;Luxembourg;2019;SEB Bank;SWE;SWEDEN;1533;452;8;196;0,1486482;0,09446
LVA;Latvia;2019;SEB Bank;SWE;SWEDEN;1455;542;22;1633;0,1415121;0,09446
NLD;Netherlands;2019;SEB Bank;SWE;SWEDEN;0;0;0;14;0,2436029;0,09446
NOR;Norway;2019;SEB Bank;SWE;SWEDEN;8817;1994;456;380;0,2246256;0,09446
POL;Poland;2019;SEB Bank;SWE;SWEDEN;143;51;14;40;0,2793418;0,09446
RUS;Russia;2019;SEB Bank;SWE;SWEDEN;565;51;19;90;0,216298;0,09446
SGP;Singapore;2019;SEB Bank;SWE;SWEDEN;593;103;28;100;0,1247309;0,09446
SWE;Sweden;2019;SEB Bank;SWE;SWEDEN;50658;14151;2564;8013;0,2178586;0,09446
UKR;Ukraine;2019;SEB Bank;SWE;SWEDEN;84;15;6;52;0,1256723;0,09446
USA;United States;2019;SEB Bank;SWE;SWEDEN;7845;131;26;47;0,163739;0,09446
