Company name;Headquarter country;Headquarter country code;Year;Partner jurisdiction;Partner jurisdiction code;Revenue;Profit before tax;CIT paid;CIT accrued;FTEs;Statutory CIT rate;Exchange rate to EUR
Shell;Netherlands;NLD;2019;Albania;ALB;3,999044049;-220,7597562;0;0;48;0,15;0,8934
Shell;Netherlands;NLD;2019;Algeria;DZA;0,012884436;1,093747898;0;0;0;0,26;0,8934
Shell;Netherlands;NLD;2019;Argentina;ARG;182,8143434;-116,3256869;0;0;152;0,3;0,8934
Shell;Netherlands;NLD;2019;Australia;AUS;8511,698031;976,5800681;1,049869477;14,98348171;2151;0,3;0,8934
Shell;Netherlands;NLD;2019;Austria;AUT;943,1836426;30,87647447;0,005328756;0,003462032;80;0,25;0,8934
Shell;Netherlands;NLD;2019;Bahamas;BHS;19209,0383;757,2048671;0;0,000008934;36;0;0,8934
Shell;Netherlands;NLD;2019;Barbados;BRB;70,2548646;20,02439255;0;0;0;;0,8934
Shell;Netherlands;NLD;2019;Belgium;BEL;956,9809659;41,34978813;22,03974741;13,69326892;300;0,29;0,8934
Shell;Netherlands;NLD;2019;Bermuda;BMU;832,5588351;531,5701386;68,7355158;68,7355158;3;0;0,8934
Shell;Netherlands;NLD;2019;Bolivia;BOL;137,4070796;-42,05874868;0;0;77;0,25;0,8934
Shell;Netherlands;NLD;2019;Brazil;BRA;7446,400674;-703,2712017;4,985750834;8,290330217;818;0,34;0,8934
Shell;Netherlands;NLD;2019;Brunei;BRN;113,7459332;-44,65971911;0,105990332;32,24531139;6;0;0,8934
Shell;Netherlands;NLD;2019;Bulgaria;BGR;173,5566197;-17,95795754;0,813463973;0,325635446;52;0,1;0,8934
Shell;Netherlands;NLD;2019;Canada;CAN;23189,23368;1163,062529;32,94614199;47,46413891;3676;0,265;0,8934
Shell;Netherlands;NLD;2019;Cayman Islands;CYM;0,62908225;0,626843416;0;0;0;0;0,8934
Shell;Netherlands;NLD;2019;China;CHN;2935,245225;437,5160108;58,01135484;54,14685247;1801,5;0,25;0,8934
