Company name;Headquarter country;Headquarter country code;Year;Partner jurisdiction;Partner jurisdiction code;Revenue;Profit before tax;CIT paid;CIT accrued;FTEs;Statutory CIT rate;Exchange rate to EUR
BP;United Kingdom;GBR;2019;Albania;ALB;18,18206137;3,720991345;0,141703067;0,558225802;13;0,15;0,8934
BP;United Kingdom;GBR;2019;Angola;AGO;2507,697748;853,124899;370,1203071;371,5603893;609;0;0,8934
BP;United Kingdom;GBR;2019;Argentina;ARG;1,961684837;-1,433311102;0,403568435;0,221848195;8;0,3;0,8934
BP;United Kingdom;GBR;2019;Australia;AUS;11586,75924;610,7104149;287,8482688;213,3806236;5756;0,3;0,8934
BP;United Kingdom;GBR;2019;Austria;AUT;1134,53281;65,81152481;1,609661115;2,518326641;149;0,25;0,8934
BP;United Kingdom;GBR;2019;Azerbaijan;AZE;2405,567656;856,8331443;153,2362664;190,4719446;2724;;0,8934
BP;United Kingdom;GBR;2019;Barbados;BRB;0,043496966;-0,078754997;0;0;0;;0,8934
BP;United Kingdom;GBR;2019;Belarus;BLR;0;0;0;0;0;;0,8934
BP;United Kingdom;GBR;2019;Belgium;BEL;1667,64618;33,56291618;14,29424991;0,978665203;628;0,29;0,8934
BP;United Kingdom;GBR;2019;Bolivia;BOL;0,002247794;-0,136772393;0;0;0;0,25;0,8934
BP;United Kingdom;GBR;2019;Brazil;BRA;912,9168376;101,7414382;-2,621417854;1,680411248;279;0,34;0,8934
BP;United Kingdom;GBR;2019;British Virgin Islands;VGB;0;0;0;0;0;0;0,8934
BP;United Kingdom;GBR;2019;Canada;CAN;14135,62594;373,053987;54,31527326;5,027786287;168;0,265;0,8934
BP;United Kingdom;GBR;2019;Chile;CHL;0;0,048260575;0;0;1;0,26;0,8934
BP;United Kingdom;GBR;2019;China;CHN;3154,165143;170,8062737;66,05162784;61,66757199;1205;0,25;0,8934
BP;United Kingdom;GBR;2019;Colombia;COL;172,5530592;0,608805643;1,340647654;0,126333907;8;0,33;0,8934
BP;United Kingdom;GBR;2019;Croatia;HRV;33,95289868;-0,088831655;0;0;0;0,18;0,8934
BP;United Kingdom;GBR;2019;Cyprus;CYP;84,79829836;3,639953711;0,208626768;0,416280623;27;0,125;0,8934
BP;United Kingdom;GBR;2019;Denmark;DNK;160,1645736;5,400955893;2,004947732;1,290412666;13;0,22;0,8934
BP;United Kingdom;GBR;2019;Estonia;EST;8,741944015;0,498035657;0,009859562;0;0;0,2;0,8934
BP;United Kingdom;GBR;2019;Faroe Islands;FRO;0,28338112;-4,381816097;0;-0,788726576;0;;0,8934
BP;United Kingdom;GBR;2019;Finland;FIN;132,9422333;0,669597046;0,214054173;0,12606142;22;0,2;0,8934
BP;United Kingdom;GBR;2019;France;FRA;1931,980763;21,15291208;0,726438728;10,65966821;311;0,33;0,8934
BP;United Kingdom;GBR;2019;Gambia;GMB;0;-5,991685374;0;0;0;0;0,8934
BP;United Kingdom;GBR;2019;Georgia;GEO;0;0;0;0;431;;0,8934
BP;United Kingdom;GBR;2019;Germany;DEU;24562,59092;116,4125171;-69,2922666;11,30355767;4676;0,3;0,8934
BP;United Kingdom;GBR;2019;Ghana;GHA;0;0,085490339;0,043370103;0,024901738;2;0;0,8934
BP;United Kingdom;GBR;2019;Gibraltar;GIB;2,583525186;0,054911044;0;-0,008270204;0;0,1;0,8934
BP;United Kingdom;GBR;2019;Greece;GRC;297,5495681;17,31731896;6,781098081;2,128498698;86;0,29;0,8934
BP;United Kingdom;GBR;2019;Hong Kong;HKG;1458,676256;15,19489896;0;1,734905968;5;0,165;0,8934
BP;United Kingdom;GBR;2019;Hungary;HUN;138,635289;12,41046151;2,638314728;2,705436763;2586;0,09;0,8934
BP;United Kingdom;GBR;2019;Iceland;ISL;141,0789533;-1,469441092;0;-0,293888397;0;;0,8934
BP;United Kingdom;GBR;2019;India;IND;578,1267705;218,1850938;53,06911874;52,54688356;811;0,35;0,8934
BP;United Kingdom;GBR;2019;Indonesia;IDN;1553,27972;478,9931134;208,5988412;189,4308209;1289;0,25;0,8934
BP;United Kingdom;GBR;2019;Ireland;IRL;0;0,400226225;0;-0,038426027;0;0,125;0,8934
BP;United Kingdom;GBR;2019;Isle Of Man;IMN;0;-0,00902602;0;0;0;0;0,8934
BP;United Kingdom;GBR;2019;Italy;ITA;595,5274205;31,16281762;6,088261914;7,554216959;114;0,24;0,8934
BP;United Kingdom;GBR;2019;Ivory Coast;CIV;0;-6,546126734;0;0;0;0,25;0,8934
BP;United Kingdom;GBR;2019;Jamaica;JAM;37,2140356;0,492736902;0,107625218;0,123894925;0;;0,8934
BP;United Kingdom;GBR;2019;Japan;JPN;172,2729256;26,68897954;8,656871787;9,784376536;177;0,3086;0,8934
BP;United Kingdom;GBR;2019;Kazakhstan;KAZ;0;-0,038885235;-0,000650395;0;0;;0,8934
BP;United Kingdom;GBR;2019;Kosovo;XXK;0;-0,062475462;0;0;0;;0,8934
BP;United Kingdom;GBR;2019;Luxembourg;LUX;514,4362586;20,61857937;9,666309259;5,810033926;28;0,2601;0,8934
