Partner jurisdiction code;Partner jurisdiction;Year;Company name;Headquarter country code;Headquarter country;Revenue;Profit before tax;CIT paid;FTEs;Average ETR over 6 years;Exchange rate to EUR
CHN;China;2019;Danske Bank;DNK;Denmark;0;-6;0;4;0,0725368;0,1339
DEU;Germany;2019;Danske Bank;DNK;Denmark;53;63;33;32;0,2342376;0,1339
DNK;Denmark;2019;Danske Bank;DNK;Denmark;62939;6879;-2874;10970;0,1852359;0,1339
EST;Estonia;2019;Danske Bank;DNK;Denmark;-152;-450;-83;50;0,1755896;0,1339
FIN;Finland;2019;Danske Bank;DNK;Denmark;5083;445;-13;1843;0,2190767;0,1339
GBR;United Kingdom;2019;Danske Bank;DNK;Denmark;2832;539;178;1373;0,2664731;0,1339
IND;India;2019;Danske Bank;DNK;Denmark;336;49;9;1181;0,4349445;0,1339
IRL;Ireland;2019;Danske Bank;DNK;Denmark;343;165;64;51;0,0541072;0,1339
LTU;Lithuania;2019;Danske Bank;DNK;Denmark;59;119;29;3665;0,1320183;0,1339
LUX;Luxembourg;2019;Danske Bank;DNK;Denmark;1142;207;44;71;0,1526281;0,1339
LVA;Latvia;2019;Danske Bank;DNK;Denmark;50;-80;1;31;0,1485108;0,1339
NOR;Norway;2019;Danske Bank;DNK;Denmark;9882;2961;724;1155;0,2140479;0,1339
POL;Poland;2019;Danske Bank;DNK;Denmark;137;32;9;60;0,26102;0,1339
RUS;Russia;2019;Danske Bank;DNK;Denmark;93;21;7;21;0,2375382;0,1339
SWE;Sweden;2019;Danske Bank;DNK;Denmark;5093;2844;621;1479;0,2051518;0,1339
USA;USA;2019;Danske Bank;DNK;Denmark;313;35;2;20;0,2781727;0,1339
