COUNTRY_NAME;COUNTRY_CODE;YEAR;FIELD_REFERENCE;MONTHLY_VALUE
Afghanistan;AFG;2014;Economic activity (ISIC-Rev.3.1): Total;154,94
Afghanistan;AFG;2014;Economic activity (Aggregate): Total;154,94
Albania;ALB;2012;Economic activity (ISIC-Rev.3.1): Total;3256,99
Albania;ALB;2012;Economic activity (Aggregate): Total;3256,99
Albania;ALB;2015;Economic activity (ISIC-Rev.4): Total;371,77
Albania;ALB;2015;Economic activity (Aggregate): Total;371,77
Albania;ALB;2016;Economic activity (ISIC-Rev.4): Total;382,81
Albania;ALB;2016;Economic activity (Aggregate): Total;382,81
Albania;ALB;2017;Economic activity (ISIC-Rev.4): Total;411,14
Albania;ALB;2017;Economic activity (Aggregate): Total;411,14
Albania;ALB;2018;Economic activity (ISIC-Rev.4): Total;468,46
Albania;ALB;2018;Economic activity (Aggregate): Total;468,46
Albania;ALB;2019;Economic activity (ISIC-Rev.4): Total;476,83
Albania;ALB;2019;Economic activity (Aggregate): Total;476,83
Angola;AGO;2011;Economic activity (ISIC-Rev.4): Total;588,85
Angola;AGO;2011;Economic activity (Aggregate): Total;588,85
Argentina;ARG;2010;Economic activity (ISIC-Rev.3.1): Total;620,72
Argentina;ARG;2010;Economic activity (Aggregate): Total;620,72
Argentina;ARG;2011;Economic activity (ISIC-Rev.4): Total;766,75
Argentina;ARG;2011;Economic activity (Aggregate): Total;766,75
Argentina;ARG;2012;Economic activity (ISIC-Rev.4): Total;865,27
Argentina;ARG;2012;Economic activity (Aggregate): Total;865,27
Argentina;ARG;2013;Economic activity (ISIC-Rev.4): Total;913,85
Argentina;ARG;2013;Economic activity (Aggregate): Total;913,85
Argentina;ARG;2014;Economic activity (ISIC-Rev.4): Total;800,11
Argentina;ARG;2014;Economic activity (Aggregate): Total;800,11
Argentina;ARG;2017;Economic activity (ISIC-Rev.4): Total;874,98
Argentina;ARG;2017;Economic activity (Aggregate): Total;874,98
Argentina;ARG;2018;Economic activity (ISIC-Rev.4): Total;656,95
Argentina;ARG;2018;Economic activity (Aggregate): Total;656,95
Argentina;ARG;2019;Economic activity (ISIC-Rev.4): Total;530,92
Argentina;ARG;2019;Economic activity (Aggregate): Total;530,92
Armenia;ARM;2015;Economic activity (ISIC-Rev.4): Total;209,93
Armenia;ARM;2015;Economic activity (Aggregate): Total;209,93
Armenia;ARM;2016;Economic activity (ISIC-Rev.4): Total;208,3
Armenia;ARM;2016;Economic activity (Aggregate): Total;208,3
Armenia;ARM;2017;Economic activity (ISIC-Rev.4): Total;214,5
Armenia;ARM;2017;Economic activity (Aggregate): Total;214,5
Armenia;ARM;2018;Economic activity (ISIC-Rev.4): Total;219,69
Armenia;ARM;2018;Economic activity (Aggregate): Total;219,69
Armenia;ARM;2019;Economic activity (ISIC-Rev.4): Total;235,7
Armenia;ARM;2019;Economic activity (Aggregate): Total;235,7
Armenia;ARM;2010;Economic activity (ISIC-Rev.4): Total;274,72
Armenia;ARM;2010;Economic activity (Aggregate): Total;274,72
Armenia;ARM;2011;Economic activity (ISIC-Rev.4): Total;290,18
Armenia;ARM;2011;Economic activity (Aggregate): Total;290,18
Armenia;ARM;2012;Economic activity (ISIC-Rev.4): Total;281,67
Armenia;ARM;2012;Economic activity (Aggregate): Total;281,67
Armenia;ARM;2013;Economic activity (ISIC-Rev.4): Total;357,7
Armenia;ARM;2013;Economic activity (Aggregate): Total;357,7
Armenia;ARM;2014;Economic activity (ISIC-Rev.4): Total;381,28
Armenia;ARM;2014;Economic activity (Aggregate): Total;381,28
Aruba;ABW;2010;Economic activity (ISIC-Rev.3.1): Total;1683,24
Aruba;ABW;2010;Economic activity (Aggregate): Total;1683,24
