"COU","Ultimate Parent Jurisdiction","JUR","Partner Jurisdiction","PAN","Grouping","CBC","Variable","YEA","Year","Value","Flag Codes","Flags"
"BEL","Belgium","AUS","Australia","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",14,,
"BEL","Belgium","AUT","Austria","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",13,,
"BEL","Belgium","BEL","Belgium","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",43,,
"BEL","Belgium","CAN","Canada","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",16,,
"BEL","Belgium","DNK","Denmark","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",11,,
"BEL","Belgium","FRA","France","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",32,,
"BEL","Belgium","DEU","Germany","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",28,,
"BEL","Belgium","HUN","Hungary","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",9,,
"BEL","Belgium","IRL","Ireland","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",7,,
"BEL","Belgium","JPN","Japan","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",10,,
"BEL","Belgium","LUX","Luxembourg","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",27,,
"BEL","Belgium","MEX","Mexico","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",13,,
"BEL","Belgium","NLD","Netherlands","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",29,,
"BEL","Belgium","NOR","Norway","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",10,,
"BEL","Belgium","POL","Poland","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",18,,
"BEL","Belgium","PRT","Portugal","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",12,,
"BEL","Belgium","ESP","Spain","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",21,,
"BEL","Belgium","SWE","Sweden","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",13,,
"BEL","Belgium","CHE","Switzerland","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",21,,
"BEL","Belgium","GBR","United Kingdom","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",30,,
"BEL","Belgium","USA","United States","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",26,,
"BEL","Belgium","ARG","Argentina","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",5,,
"BEL","Belgium","BRA","Brazil","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",9,,
"BEL","Belgium","CHL","Chile","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",10,,
"BEL","Belgium","CHN","China (People's Republic of)","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",15,,
"BEL","Belgium","COL","Colombia","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",7,,
"BEL","Belgium","HKG","Hong Kong, China","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",15,,
"BEL","Belgium","IND","India","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",11,,
"BEL","Belgium","MYS","Malaysia","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",8,,
"BEL","Belgium","ROU","Romania","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",13,,
"BEL","Belgium","RUS","Russia","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",10,,
"BEL","Belgium","SGP","Singapore","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",12,,
"BEL","Belgium","AFRIC","Africa","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",14,,
"BEL","Belgium","OAM","Other Americas","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",12,,
"BEL","Belgium","OAS","Other Asia","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",23,,
"BEL","Belgium","OTE","Other Europe","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",36,,
