partner;statrate
ABW;0,2500
AFG;0,2000
AFRIC;0,2811
AGO;0,3000
AIA;
ALB;0,1500
AMER;0,2771
AND;
ARE;0,5500
ARG;0,3500
ARM;0,2000
ASIAT;0,2141
ATG;
AUS;0,3000
AUT;0,2500
AZE;
BDI;
BEL;0,3399
BEN;
BFA;
BGD;0,2500
BGR;0,1000
BHR;0,0000
BHS;0,0000
BIH;0,1000
BLR;0,1800
BMU;0,0000
BOL;0,2500
BRA;0,3400
BRB;0,2500
BRN;
BWA;0,2200
CAN;0,2650
CHE;0,1792
CHL;0,2400
CHN;0,2500
CIV;
CMR;0,3300
COD;
COG;
COL;0,2500
CRI;0,3000
CUW;0,2200
CYM;0,0000
CYP;0,1250
CZE;0,1900
DEU;0,2972
DJI;
DMA;
DNK;0,2200
DOM;0,2700
DZA;0,2600
ECU;0,2200
EGY;0,2250
ESP;0,2500
EST;0,2000
ETH;
EUROP;0,2217
FIN;0,2000
FJI;0,2000
FRA;0,3330
GAB;
GBR;0,2000
GEO;0,1500
GGY;0,0000
GHA;0,2500
GIB;0,1000
FJT;0,2367
GMB;
GRC;0,2900
GRD;
GTM;0,2500
HKG;0,1650
HND;0,3000
HRV;0,2000
HUN;0,1900
IDN;0,2500
IMN;0,0000
IND;0,3461
IRL;0,1250
IRQ;0,1500
ISL;0,2000
ISR;0,2500
ITA;0,3140
JAM;0,2500
JEY;0,2000
JOR;0,2000
JPN;0,3086
KAZ;0,2000
KEN;0,3000
KGZ;
KHM;0,2000
KNA;
KOR;0,2420
KWT;0,1500
LATIN AMERICA;0,2729
LBN;0,1500
LBY;0,2000
LCA;
LIE;0,1250
LKA;0,1500
LTU;0,1500
LUX;0,2922
LVA;0,1500
MAC;0,1200
MAR;0,3100
MCO;
MDA;0,1200
MDG;
MEX;0,3000
MKD;0,1000
MLT;0,3500
MMR;
MNE;0,0900
MNG;
MOZ;0,3200
MRT;
MUS;0,1500
MWI;0,3000
MYS;0,2400
NAM;0,3200
NGA;0,3000
NIC;
NLD;0,2500
NOR;0,2500
NORTH AMERICA;0,3325
NZL;0,2800
OCEANIA;0,2700
OECD;0,2469
OMN;0,1200
PAK;0,3200
PAN;0,2500
PER;0,2800
PHL;0,3000
PNG;0,3000
POL;0,1900
PRT;0,2100
PRY;0,1000
PSE;
QAT;
ROU;0,1600
RUS;0,2000
RWA;
SAU;0,2000
SDN;0,3500
SEN;
SGP;0,1700
SLB;
SLE;0,3000
SLV;0,3000
SOUTH AMERICA;0,2729
SRB;0,1500
SUR;0,3450
SVK;0,2200
SVN;0,1700
SWE;0,2200
SWZ;
SXM;0,3450
SYR;0,2200
TCA;
THA;0,2000
TKM;
TTO;0,2500
TUN;0,2500
TUR;0,2000
TWN;0,1700
TZA;0,3000
UGA;0,3000
UKR;0,1800
URY;0,2500
USA;0,4000
UZB;0,0750
VCT;
VEN;0,3400
VNM;0,2200
VUT;0,0000
WSM;0,2700
YEM;0,2000
ZAF;0,2800
ZMB;0,3500
ZWE;0,2575
OAF;0,2811
OAS;0,2141
OTE;0,2217
OAM;0,2771
GRPS;0,2367
